mod_name,unimod_mass,unimod_avge_mass,composition,unimod_modloss,modloss_composition,classification,unimod_id,modloss_importance,mass,modloss_original,modloss
V[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Chemical derivative,35,0.0,15.99491461957,0.0,0.0
R[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Post-translational,35,0.0,15.99491461957,0.0,0.0
M[UNIMOD:35],15.994915,15.9994,O(1),63.998285,H(4)C(1)O(1)S(1),Artefact,35,0.0,15.99491461957,63.998285922890005,0.0
Y[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Post-translational,35,0.0,15.99491461957,0.0,0.0
F[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Artefact,35,0.0,15.99491461957,0.0,0.0
P[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Post-translational,35,0.0,15.99491461957,0.0,0.0
N[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Post-translational,35,0.0,15.99491461957,0.0,0.0
K[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Post-translational,35,0.0,15.99491461957,0.0,0.0
D[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Post-translational,35,0.0,15.99491461957,0.0,0.0
[UNIMOD:36]-,28.0313,28.0532,H(4)C(2),0.0,,Isotopic label,36,0.0,28.03130012892,0.0,0.0
P[UNIMOD:36],28.0313,28.0532,H(4)C(2),0.0,,Post-translational,36,0.0,28.03130012892,0.0,0.0
N[UNIMOD:36],28.0313,28.0532,H(4)C(2),0.0,,Post-translational,36,0.0,28.03130012892,0.0,0.0
[UNIMOD:36]-,28.0313,28.0532,H(4)C(2),0.0,,Isotopic label,36,0.0,28.03130012892,0.0,0.0
K[UNIMOD:36],28.0313,28.0532,H(4)C(2),0.0,,Multiple,36,0.0,28.03130012892,0.0,0.0
R[UNIMOD:36],28.0313,28.0532,H(4)C(2),0.0,,Post-translational,36,0.0,28.03130012892,0.0,0.0
A[UNIMOD:37],42.04695,42.0797,H(6)C(3),0.0,,Post-translational,37,0.0,42.04695019338,0.0,0.0
R[UNIMOD:37],42.04695,42.0797,H(6)C(3),0.0,,Chemical derivative,37,0.0,42.04695019338,0.0,0.0
K[UNIMOD:37],42.04695,42.0797,H(6)C(3),59.073499,H(9)C(3)N(1),Post-translational,37,0.0,42.04695019338,59.0734992945,0.0
C[UNIMOD:39],45.987721,46.0916,H(2)C(1)S(1),0.0,,Multiple,39,0.0,45.98772123886,0.0,0.0
N[UNIMOD:39],45.987721,46.0916,H(2)C(1)S(1),0.0,,Post-translational,39,0.0,45.98772123886,0.0,0.0
D[UNIMOD:39],45.987721,46.0916,H(2)C(1)S(1),0.0,,Post-translational,39,0.0,45.98772123886,0.0,0.0
K[UNIMOD:39],45.987721,46.0916,H(2)C(1)S(1),0.0,,Artefact,39,0.0,45.98772123886,0.0,0.0
[UNIMOD:39]-,45.987721,46.0916,H(2)C(1)S(1),0.0,,Artefact,39,0.0,45.98772123886,0.0,0.0
S[UNIMOD:40],79.956815,80.0632,O(3)S(1),79.956815,O(3)S(1),Post-translational,40,0.0,79.95681503311,79.95681503311,0.0
T[UNIMOD:40],79.956815,80.0632,O(3)S(1),79.956815,O(3)S(1),Post-translational,40,0.0,79.95681503311,79.95681503311,0.0
Y[UNIMOD:40],79.956815,80.0632,O(3)S(1),79.956815,O(3)S(1),Post-translational,40,0.0,79.95681503311,79.95681503311,0.0
C[UNIMOD:40],79.956815,80.0632,O(3)S(1),0.0,,Post-translational,40,0.0,79.95681503311,0.0,0.0
C[UNIMOD:41],162.052824,162.1406,H(10)C(6)O(5),0.0,,Other glycosylation,41,0.0,162.05282342015,0.0,0.0
W[UNIMOD:41],162.052824,162.1406,H(10)C(6)O(5),0.0,,Other glycosylation,41,0.0,162.05282342015,0.0,0.0
T[UNIMOD:41],162.052824,162.1406,H(10)C(6)O(5),162.052824,H(10)C(6)O(5),O-linked glycosylation,41,0.0,162.05282342015,162.05282342015,0.0
S[UNIMOD:41],162.052824,162.1406,H(10)C(6)O(5),162.052824,H(10)C(6)O(5),O-linked glycosylation,41,0.0,162.05282342015,162.05282342015,0.0
[UNIMOD:41]-,162.052824,162.1406,H(10)C(6)O(5),54.031694,H(6)O(3),Other glycosylation,41,0.0,162.05282342015,54.03169405209,0.0
N[UNIMOD:41],162.052824,162.1406,H(10)C(6)O(5),162.052824,H(10)C(6)O(5),N-linked glycosylation,41,0.0,162.05282342015,162.05282342015,0.0
R[UNIMOD:41],162.052824,162.1406,H(10)C(6)O(5),54.031694,H(6)O(3),Other glycosylation,41,0.0,162.05282342015,54.03169405209,0.0
K[UNIMOD:41],162.052824,162.1406,H(10)C(6)O(5),54.031694,H(6)O(3),Other glycosylation,41,0.0,162.05282342015,54.03169405209,0.0
Y[UNIMOD:41],162.052824,162.1406,H(10)C(6)O(5),0.0,,O-linked glycosylation,41,0.0,162.05282342015,0.0,0.0
K[UNIMOD:42],188.032956,188.3103,H(12)C(8)O(1)S(2),0.0,,Post-translational,42,0.0,188.03295735513,0.0,0.0
C[UNIMOD:43],203.079373,203.1925,H(13)C(8)N(1)O(5),203.079373,H(13)C(8)N(1)O(5),Other glycosylation,43,0.0,203.07937252127,203.07937252127,0.0
T[UNIMOD:43],203.079373,203.1925,H(13)C(8)N(1)O(5),203.079373,H(13)C(8)N(1)O(5),O-linked glycosylation,43,0.0,203.07937252127,203.07937252127,0.0
S[UNIMOD:43],203.079373,203.1925,H(13)C(8)N(1)O(5),203.079373,H(13)C(8)N(1)O(5),O-linked glycosylation,43,0.0,203.07937252127,203.07937252127,0.0
N[UNIMOD:43],203.079373,203.1925,H(13)C(8)N(1)O(5),203.079373,H(13)C(8)N(1)O(5),N-linked glycosylation,43,0.0,203.07937252127,203.07937252127,0.0
C[UNIMOD:44],204.187801,204.3511,H(24)C(15),0.0,,Post-translational,44,0.0,204.18780077352,0.0,0.0
C[UNIMOD:45],210.198366,210.3556,H(26)C(14)O(1),0.0,,Post-translational,45,0.0,210.19836545755,0.0,0.0
K[UNIMOD:45],210.198366,210.3556,H(26)C(14)O(1),0.0,,Post-translational,45,0.0,210.19836545755,0.0,0.0
G[UNIMOD:45],210.198366,210.3556,H(26)C(14)O(1),0.0,,Post-translational,45,0.0,210.19836545755,0.0,0.0
K[UNIMOD:46],229.014009,229.1266,H(8)C(8)N(1)O(5)P(1),0.0,,Post-translational,46,0.0,229.01400935854,0.0,0.0
T[UNIMOD:47],238.229666,238.4088,H(30)C(16)O(1),0.0,,Post-translational,47,0.0,238.22966558647,0.0,0.0
S[UNIMOD:47],238.229666,238.4088,H(30)C(16)O(1),0.0,,Post-translational,47,0.0,238.22966558647,0.0,0.0
K[UNIMOD:47],238.229666,238.4088,H(30)C(16)O(1),0.0,,Post-translational,47,0.0,238.22966558647,0.0,0.0
C[UNIMOD:47],238.229666,238.4088,H(30)C(16)O(1),0.0,,Post-translational,47,0.0,238.22966558647,0.0,0.0
[UNIMOD:47]-,238.229666,238.4088,H(30)C(16)O(1),0.0,,Post-translational,47,0.0,238.22966558647,0.0,0.0
C[UNIMOD:48],272.250401,272.4681,H(32)C(20),0.0,,Post-translational,48,0.0,272.25040103136,0.0,0.0
S[UNIMOD:49],340.085794,340.333,H(21)C(11)N(2)O(6)P(1)S(1),0.0,,Post-translational,49,0.0,340.08579457593004,0.0,0.0
Y[UNIMOD:50],783.141486,783.5339,H(31)C(27)N(9)O(15)P(2),0.0,,Post-translational,50,0.0,783.14148532939,0.0,0.0
H[UNIMOD:50],783.141486,783.5339,H(31)C(27)N(9)O(15)P(2),0.0,,Post-translational,50,0.0,783.14148532939,0.0,0.0
C[UNIMOD:50],783.141486,783.5339,H(31)C(27)N(9)O(15)P(2),0.0,,Post-translational,50,0.0,783.14148532939,0.0,0.0
C[UNIMOD:51],788.725777,789.3049,H(96)C(51)O(5),0.0,,Post-translational,51,0.0,788.72577619193,0.0,0.0
K[UNIMOD:52],42.021798,42.04,H(2)C(1)N(2),0.0,,Chemical derivative,52,0.0,42.02179807332,0.0,0.0
[UNIMOD:52]-,42.021798,42.04,H(2)C(1)N(2),0.0,,Chemical derivative,52,0.0,42.02179807332,0.0,0.0
K[UNIMOD:53],156.11503,156.2221,H(16)C(9)O(2),0.0,,Post-translational,53,0.0,156.11502975482,0.0,0.0
H[UNIMOD:53],156.11503,156.2221,H(16)C(9)O(2),0.0,,Post-translational,53,0.0,156.11502975482,0.0,0.0
C[UNIMOD:53],156.11503,156.2221,H(16)C(9)O(2),0.0,,Post-translational,53,0.0,156.11502975482,0.0,0.0
A[UNIMOD:53],156.11503,156.2221,H(16)C(9)O(2),0.0,,Post-translational,53,0.0,156.11502975482,0.0,0.0
L[UNIMOD:53],156.11503,156.2221,H(16)C(9)O(2),0.0,,Post-translational,53,0.0,156.11502975482,0.0,0.0
T[UNIMOD:54],176.032088,176.1241,H(8)C(6)O(6),176.032088,H(8)C(6)O(6),O-linked glycosylation,54,0.0,176.03208797526003,176.03208797526003,0.0
S[UNIMOD:54],176.032088,176.1241,H(8)C(6)O(6),176.032088,H(8)C(6)O(6),O-linked glycosylation,54,0.0,176.03208797526003,176.03208797526003,0.0
[UNIMOD:54]-,176.032088,176.1241,H(8)C(6)O(6),0.0,,Other glycosylation,54,0.0,176.03208797526003,0.0,0.0
C[UNIMOD:55],305.068156,305.3076,H(15)C(10)N(3)O(6)S(1),0.0,,Post-translational,55,0.0,305.06815638856,0.0,0.0
T[UNIMOD:56],45.029395,45.0552,H(-1)2H(3)C(2)O(1),0.0,,Isotopic label,56,0.0,45.0293949217,0.0,0.0
S[UNIMOD:56],45.029395,45.0552,H(-1)2H(3)C(2)O(1),0.0,,Isotopic label,56,0.0,45.0293949217,0.0,0.0
H[UNIMOD:56],45.029395,45.0552,H(-1)2H(3)C(2)O(1),0.0,,Isotopic label,56,0.0,45.0293949217,0.0,0.0
[UNIMOD:56]-,45.029395,45.0552,H(-1)2H(3)C(2)O(1),0.0,,Isotopic label,56,0.0,45.0293949217,0.0,0.0
K[UNIMOD:56],45.029395,45.0552,H(-1)2H(3)C(2)O(1),0.0,,Isotopic label,56,0.0,45.0293949217,0.0,0.0
Y[UNIMOD:56],45.029395,45.0552,H(-1)2H(3)C(2)O(1),0.0,,Isotopic label,56,0.0,45.0293949217,0.0,0.0
[UNIMOD:56]-,45.029395,45.0552,H(-1)2H(3)C(2)O(1),0.0,,Isotopic label,56,0.0,45.0293949217,0.0,0.0
[UNIMOD:58]-,56.026215,56.0633,H(4)C(3)O(1),0.0,,Isotopic label,58,0.0,56.026214748490005,0.0,0.0
K[UNIMOD:58],56.026215,56.0633,H(4)C(3)O(1),0.0,,Isotopic label,58,0.0,56.026214748490005,0.0,0.0
S[UNIMOD:58],56.026215,56.0633,H(4)C(3)O(1),0.0,,Chemical derivative,58,0.0,56.026214748490005,0.0,0.0
T[UNIMOD:58],56.026215,56.0633,H(4)C(3)O(1),0.0,,Isotopic label,58,0.0,56.026214748490005,0.0,0.0
[UNIMOD:58]-,56.026215,56.0633,H(4)C(3)O(1),0.0,,Multiple,58,0.0,56.026214748490005,0.0,0.0
[UNIMOD:59]-,59.036279,59.0412,H(4)13C(3)O(1),0.0,,Isotopic label,59,0.0,59.0362792537,0.0,0.0
K[UNIMOD:59],59.036279,59.0412,H(4)13C(3)O(1),0.0,,Isotopic label,59,0.0,59.0362792537,0.0,0.0
[UNIMOD:60]-,127.099714,127.1842,H(13)C(7)N(1)O(1),59.073499,H(9)C(3)N(1),Isotopic label,60,0.0,127.09971404299,59.0734992945,0.0
K[UNIMOD:60],127.099714,127.1842,H(13)C(7)N(1)O(1),59.073499,H(9)C(3)N(1),Isotopic label,60,0.0,127.09971404299,59.0734992945,0.0
[UNIMOD:61]-,130.118544,130.2027,H(10)2H(3)C(7)N(1)O(1),62.09233,H(6)2H(3)C(3)N(1),Isotopic label,61,0.0,130.11854428066002,62.09232953217,0.0
K[UNIMOD:61],130.118544,130.2027,H(10)2H(3)C(7)N(1)O(1),62.09233,H(6)2H(3)C(3)N(1),Isotopic label,61,0.0,130.11854428066002,62.09232953217,0.0
[UNIMOD:62]-,133.137375,133.2212,H(7)2H(6)C(7)N(1)O(1),65.11116,H(3)2H(6)C(3)N(1),Isotopic label,62,0.0,133.13737451833,65.11115976984,0.0
K[UNIMOD:62],133.137375,133.2212,H(7)2H(6)C(7)N(1)O(1),65.11116,H(3)2H(6)C(3)N(1),Isotopic label,62,0.0,133.13737451833,65.11115976984,0.0
